tation_id
ＨＢＣラジオ,HBC
ＳＴＶラジオ,STV
AIR-G’（FM北海道）,AIR-G
FM NORTH WAVE,NORTHWAVE
ＲＡＢ青森放送,RAB
IBCラジオ,IBC
エフエム岩手,FMI
TBCラジオ,TBC
YBC山形放送,YBC
RFCラジオ福島,RFC
ふくしまFM,FMF
TBSラジオ,TBS
文化放送,QRR
ニッポン放送,LFR
InterFM897,INT
TOKYO FM,FMT
J-WAVE,FMJ
ラジオ日本,JORF
bayfm78,BAYFM78
NACK5,NACK5
ＦＭヨコハマ,YFM
IBS茨城放送,IBS
CRT栃木放送,CRT
RadioBerry,RADIOBERRY
FMぐんま,FMGUNMA
ＢＳＮラジオ,BSN
FM NIIGATA,FMNIIGATA
FM PORT,FMPORT
ＫＮＢラジオ,KNB
ＦＭとやま,FMTOYAMA
MRO北陸放送ラジオ,MRO
エフエム石川,HELLOFIVE
FBCラジオ,FBC
FM-FUJI,FM-FUJI
SBCラジオ,SBC
ＦＭ長野,FMN
CBCラジオ,CBC
東海ラジオ,TOKAIRADIO
ぎふチャン,GBS
ZIP-FM,ZIP-FM
RADIO NEO,RADIONEO
＠FM,FMAICHI
ＦＭ ＧＩＦＵ,FMGIFU
SBSラジオ,SBS
K-MIX SHIZUOKA,K-MIX
レディオキューブ ＦＭ三重,FMMIE
ABCラジオ,ABC
MBSラジオ,MBS
OBCラジオ大阪,OBC
FM COCOLO,CCL
FM802,802
FM OSAKA,FMO
Kiss FM KOBE,KISSFMKOBE
CRKラジオ関西,CRK
e-radio FM滋賀,E-RADIO
KBS京都ラジオ,KBS
α-STATION FM京都,ALPHA-STATION
wbs和歌山放送,WBS
BSSラジオ,BSS
ＲＳＫラジオ,RSK
RCCラジオ,RCC
広島FM,HFM
ＫＲＹ山口放送,KRY
ＪＲＴ四国放送,JRT
RNB南海放送,RNB
RKC高知放送,RKC
RKBラジオ,RKB
KBCラジオ,KBC
LOVE FM,LOVEFM
cross fm,CROSSFM
FM FUKUOKA,FMFUKUOKA
NBC長崎放送,NBC
FM長崎,FMNAGASAKI
RKKラジオ,RKK
FMKエフエム熊本,FMK
OBSラジオ,OBS
エフエム大分,FM_OITA
宮崎放送,MRT
ＭＢＣラジオ,MBC
RBCiラジオ,RBC
ラジオNIKKEI第1,RN1
ラジオNIKKEI第2,RN2
放送大学,HOUSOU-DAIGAKU
NHKラジオ第1,radiru_r1
NHKラジオ第2,radiru_r2
NHK-FM,radiru_r3

